gene_symbol,disease,disease_subtype,syndrome,ClinGen_classification,G2P_classification,OMIM_inheritence,G2P_allelic_requirement,ClinGen_mutation_consequence,OMIM_gene_ID,OMIM_disease_name,OMIM_disease_ID,ORPHA_ID,MONDO_ID,G2P_organ_specificity_list,G2P_panel,prev_symbols,hgnc_id,gene_disease_pair_entry_date,share_status,IC_signed_by,ClinGen_pmids,HPO_phenotypes
RIT1,HCM,isolated LVH,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,609591,NOONAN SYNDROME 8,615355,ORPHA:648 Noonan syndrome,MONDO_0014143,NA,Cardiac,"NS8, RIBB, RIT, ROC1",HGNC:10023,NA,NA,NA,23791108;25959749;27101134;25124994;25049390;23875798;27226556,HP:0000028;HP:0006610;HP:0000768;HP:0000369;HP:0000508;HP:0030680;HP:0011362;HP:0004415;HP:0007517;HP:0001249;HP:0000044;HP:0000494;HP:0001156;HP:0002240;HP:0001004;HP:0004209;HP:0010318;HP:0001643;HP:0100625;HP:0002750;HP:0000766;HP:0000316;HP:0001712;HP:0004322;HP:0001639;HP:0000639;HP:0001508;HP:0000325;HP:0000470;HP:0000407;HP:0004482;HP:0000474;HP:0000476;HP:0001629;HP:0011800;HP:0002650;HP:0000286;HP:0011381;HP:0002162;HP:0001324;HP:0001928;HP:0001260;HP:0001892;HP:0000465;HP:0001743;HP:0002974;HP:0002212;HP:0000078;HP:0001641;HP:0011675;HP:0011869;HP:0000974;HP:0000348;HP:0000767;HP:0000953;HP:0005692;HP:0000486;HP:0000962;HP:0001642;HP:0001252;HP:0000368;HP:0008872;HP:0002167;HP:0000391;HP:0000218;HP:0000995;HP:0001561;HP:0000520;HP:0100763;HP:0002208;HP:0001631;HP:0000179;HP:0007477;HP:0000006;HP:0002202;HP:0000347
RIT1,RAS,NA,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,609591,NOONAN SYNDROME 8,615355,ORPHA:648 Noonan syndrome,MONDO_0014143,NA,Cardiac,"NS8, RIBB, RIT, ROC1",HGNC:10023,NA,NA,NA,23791108;25959749;27101134;25124994;25049390;23875798;27226556,HP:0000028;HP:0006610;HP:0000768;HP:0000369;HP:0000508;HP:0030680;HP:0011362;HP:0004415;HP:0007517;HP:0001249;HP:0000044;HP:0000494;HP:0001156;HP:0002240;HP:0001004;HP:0004209;HP:0010318;HP:0001643;HP:0100625;HP:0002750;HP:0000766;HP:0000316;HP:0001712;HP:0004322;HP:0001639;HP:0000639;HP:0001508;HP:0000325;HP:0000470;HP:0000407;HP:0004482;HP:0000474;HP:0000476;HP:0001629;HP:0011800;HP:0002650;HP:0000286;HP:0011381;HP:0002162;HP:0001324;HP:0001928;HP:0001260;HP:0001892;HP:0000465;HP:0001743;HP:0002974;HP:0002212;HP:0000078;HP:0001641;HP:0011675;HP:0011869;HP:0000974;HP:0000348;HP:0000767;HP:0000953;HP:0005692;HP:0000486;HP:0000962;HP:0001642;HP:0001252;HP:0000368;HP:0008872;HP:0002167;HP:0000391;HP:0000218;HP:0000995;HP:0001561;HP:0000520;HP:0100763;HP:0002208;HP:0001631;HP:0000179;HP:0007477;HP:0000006;HP:0002202;HP:0000347
SCN5A,BrS,NA,NA,Definitive,Confirmed,AD,monoallelic,NA,600163,BRUGADA SYNDROME 1,601144,Brugada syndrome ORPHA:130,MONDO_0011001,NA,Cardiac,"CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1, VF1",HGNC:10593,NA,NA,NA,9521325;12051963;14961552;10690282;10590249;20129283;9521325;27810048,HP:0001279;HP:0004751;HP:0001962;HP:0004757;HP:0000007;HP:0000407;HP:0002047;HP:0011715;HP:0001678;HP:0006673;HP:0004755;HP:0001695;HP:0025478;HP:0005949;HP:0100578;HP:0011705;HP:0005170;HP:0031295;HP:0011704;HP:0012251;HP:0001644;HP:0001664;HP:0004749;HP:0011712;HP:0001645;HP:0006671;HP:0001663;HP:0000006;HP:0003577;HP:0005155;HP:0000982;HP:0001426;HP:0005110;HP:0001712;HP:0001874;HP:0001297;HP:0011713;HP:0003198;HP:0002094;HP:0004308;HP:0011675;HP:0001649;HP:0003457;HP:0005180;HP:0003236;HP:0001657;HP:0001688;HP:0006682;HP:0006699;HP:0011711;HP:0005172;HP:0001425;HP:0001699
SCN5A,LQTS,NA,NA,Definitive,Confirmed,AD,monoallelic,NA,600163,LONG QT SYNDROME 3,603830,ORPHA:1344 ORPHA:130 ORPHA:334,MONDO_0011377,NA,Cardiac,"CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1, VF1",HGNC:10593,NA,NA,NA,1309946;7889574;7651517;8917568;10200053;10627139;9495298;10590249;10508990;10377081;10807877;11535573;11533705;12123767;14654377;12673799;12650885;15485686;14736542;17145985;17698727;19808432;19841300;21076026;21799153;22721569;23998552;24871449;23963187;27566755;26467377;28782696,HP:0001279;HP:0004751;HP:0001962;HP:0004757;HP:0000007;HP:0000407;HP:0002047;HP:0011715;HP:0001678;HP:0006673;HP:0004755;HP:0001695;HP:0025478;HP:0005949;HP:0100578;HP:0011705;HP:0005170;HP:0031295;HP:0011704;HP:0012251;HP:0001644;HP:0001664;HP:0004749;HP:0011712;HP:0001645;HP:0006671;HP:0001663;HP:0000006;HP:0003577;HP:0005155;HP:0000982;HP:0001426;HP:0005110;HP:0001712;HP:0001874;HP:0001297;HP:0011713;HP:0003198;HP:0002094;HP:0004308;HP:0011675;HP:0001649;HP:0003457;HP:0005180;HP:0003236;HP:0001657;HP:0001688;HP:0006682;HP:0006699;HP:0011711;HP:0005172;HP:0001425;HP:0001699
SHOC2,RAS,NA,NS/LAH syndrome,Definitive,Confirmed,AD,monoallelic,NA,602775,NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 1,607721,ORPHA:2701  Noonan syndrome-like disorder with loose anagen hair,MONDO_0054637,NA,Cardiac,"SIAA0862, SOC2, SUR8",HGNC:15454,NA,NA,NA,19684605;20882035;21548061;23875798;19684605;27466182;22606262,HP:0000238;HP:0040169;HP:0000006;HP:0006191;HP:0000316;HP:0000369;HP:0011220;HP:0000465;HP:0000179;HP:0000752;HP:0002162;HP:0001290;HP:0001388;HP:0032152;HP:0000174;HP:0000028;HP:0001642;HP:0004322;HP:0001639;HP:0000470;HP:0001231;HP:0001249;HP:0005108;HP:0000233;HP:0001631;HP:0001800;HP:0002002;HP:0000358;HP:0001629;HP:0011968;HP:0000286;HP:0000964;HP:0002079;HP:0000527;HP:0000670;HP:0000400;HP:0000486;HP:0000368;HP:0000256;HP:0000365;HP:0003196;HP:0100840;HP:0001156;HP:0000463;HP:0001611;HP:0002750;HP:0008064;HP:0001561;HP:0002209;HP:0000767;HP:0009811
SLC25A4,HCM,no isolated LVH,Mitochondrial disease,Definitive,Confirmed,AR,biallelic,NA,103220,MITOCHONDRIAL DNA DEPLETION SYNDROME 12B,615418,NA,MONDO_0014175,NA,Cardiac,"AAC1, ANT, ANT 1, ANT1, MTDPS12, MTDPS12A, PEO2, PEO3, PEOA2, T1",HGNC:10990,NA,NA,NA,22187496;23401503;25732997;8479824;16155110;9207786;2547778;10974536;21232697;15647764,HP:0000602;HP:0001962;HP:0003577;HP:0000939;HP:0001272;HP:0000544;HP:0000501;HP:0003202;HP:0007042;HP:0002076;HP:0003689;HP:0001946;HP:0000017;HP:0000821;HP:0002063;HP:0012378;HP:0003326;HP:0001324;HP:0001254;HP:0001265;HP:0001276;HP:0003548;HP:0000545;HP:0003324;HP:0000639;HP:0001250;HP:0001251;HP:0003477;HP:0003731;HP:0000365;HP:0003388;HP:0000505;HP:0002375;HP:0001260;HP:0003546;HP:0012103;HP:0000007;HP:0000836;HP:0001644;HP:0003581;HP:0000338;HP:0000486;HP:0000739;HP:0001513;HP:0002322;HP:0002071;HP:0003458;HP:0000006;HP:0001425;HP:0007302;HP:0000407;HP:0003547;HP:0003394;HP:0000716;HP:0000496;HP:0100543;HP:0001290;HP:0004308;HP:0002020;HP:0003677;HP:0000819;HP:0001131;HP:0000597;HP:0012664;HP:0009830;HP:0001639;HP:0002151;HP:0001992;HP:0003676;HP:0002015;HP:0001508;HP:0001712;HP:0002540;HP:0002396;HP:0003551;HP:0003690;HP:0003438;HP:0002359;HP:0002910;HP:0000590;HP:0002578;HP:0002067;HP:0011675;HP:0003198;HP:0003236;HP:0002747;HP:0003128;HP:0002066;HP:0005110;HP:0001952;HP:0010628;HP:0001288;HP:0002093;HP:0003200;HP:0000512;HP:0003737;HP:0000853;HP:0001337;HP:0001392;HP:0000969;HP:0001349;HP:0002875;HP:0002019;HP:0100704;HP:0000508;HP:0003688;HP:0000518
SMAD3,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,Nonsense and missense variants with (predicted) LOF,603109,LOEYS-DIETZ SYNDROME 3,613795,Familial thoracic aneurysm and dissection (91387); aneurysm-osteoarthritis syndrome (284984),MONDO_0013426,NA,Cardiac,"HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3",HGNC:6769,NA,NA,NA,23272854;21778426;21217753;23782924;23585475,HP:0002105;HP:0001659;HP:0100490;HP:0004950;HP:0100749;HP:0001647;HP:0001762;HP:0000023;HP:0005294;HP:0005116;HP:0004942;HP:0000768;HP:0000316;HP:0100775;HP:0000978;HP:0004268;HP:0008419;HP:0001075;HP:0003302;HP:0002140;HP:0012499;HP:0012763;HP:0005110;HP:0002686;HP:0001388;HP:0001699;HP:0001643;HP:0002315;HP:0010648;HP:0004944;HP:0000939;HP:0010646;HP:0011645;HP:0001166;HP:0002617;HP:0002138;HP:0003549;HP:0000175;HP:0001363;HP:0005162;HP:0002875;HP:0002705;HP:0001519;HP:0002616;HP:0011106;HP:0001640;HP:0012432;HP:0001537;HP:0001642;HP:0000689;HP:0001634;HP:0001712;HP:0001297;HP:0000348;HP:0200146;HP:0000965;HP:0001065;HP:0001083;HP:0002650;HP:0000520;HP:0002107;HP:0002076;HP:0000276;HP:0010886;HP:0004959;HP:0001627;HP:0000278;HP:0012385;HP:0000822;HP:0000193;HP:0005112;HP:0006687;HP:0000766;HP:0000268;HP:0000767;HP:0002326;HP:0000272;HP:0000006;HP:0001677;HP:0000577;HP:0002758;HP:0005086;HP:0000518;HP:0001763;HP:0003179;HP:0004933;HP:0012163;HP:0002619;HP:0410151;HP:0000139;HP:0001653;HP:0000218;HP:0025487;HP:0002647;HP:0000977;HP:0008843;HP:0000098;HP:0000525;HP:0000987
SOS1,RAS,NA,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,182530,NOONAN SYNDROME 4,610733,ORPHA:648  Noonan syndrome,MONDO_0012547,NA,Cardiac,"GF1, GGF1, GINGF, HGF, NS4, SOS-1",HGNC:11187,NA,NA,NA,17143285;21387466;25712082;25337068;18651097;23875798;17143285;25712082;17143282;20133692;21041952,HP:0002974;HP:0005692;HP:0010318;HP:0000044;HP:0011675;HP:0000494;HP:0000767;HP:0001260;HP:0004209;HP:0000470;HP:0000325;HP:0000486;HP:0001156;HP:0000535;HP:0005280;HP:0000768;HP:0000995;HP:0000006;HP:0000078;HP:0004322;HP:0000169;HP:0000465;HP:0001252;HP:0000689;HP:0000508;HP:0001641;HP:0000316;HP:0000476;HP:0001004;HP:0001629;HP:0001639;HP:0001324;HP:0006610;HP:0100763;HP:0000286;HP:0001642;HP:0000347;HP:0000639;HP:0011869;HP:0002240;HP:0000407;HP:0002208;HP:0002750;HP:0000179;HP:0001743;HP:0000368;HP:0030680;HP:0002162;HP:0007477;HP:0000915;HP:0000212;HP:0032152;HP:0002650;HP:0000520;HP:0001928;HP:0011381;HP:0000256;HP:0004415;HP:0000028;HP:0008872;HP:0011362;HP:0002967;HP:0000348;HP:0000635;HP:0003010;HP:0000391;HP:0001892;HP:0100625;HP:0000218;HP:0000474;HP:0002212;HP:0011800;HP:0009890;HP:0002167
TGFB2,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,Nonsense and missense variants with (predicted) LOF,190220,LOEYS-DIETZ SYNDROME 4,614816,Familial thoracic aneurysm and dissection (91387); rare disease with thoracic aortic aneurysm and aortic dissection (285014),MONDO_0013897,NA,Cardiac,"G-TSF, LDS4, TGF-beta2",HGNC:11768,NA,NA,NA,22772368;22772371,HP:0002107;HP:0002705;HP:0004950;HP:0001083;HP:0000006;HP:0002097;HP:0002616;HP:0001640;HP:0005162;HP:0011106;HP:0002647;HP:0001659;HP:0012763;HP:0001677;HP:0003549;HP:0005112;HP:0000023;HP:0000766;HP:0002326;HP:0002875;HP:0005692;HP:0005116;HP:0000278;HP:0000822;HP:0001634;HP:0001763;HP:0000978;HP:0001762;HP:0002140;HP:0001297;HP:0000525;HP:0004944;HP:0100775;HP:0000218;HP:0000316;HP:0000974;HP:0001647;HP:0003302;HP:0100749;HP:0001643;HP:0012499;HP:0000098;HP:0002650;HP:0012163;HP:0002105;HP:0410151;HP:0000965;HP:0001166;HP:0000494;HP:0001065;HP:0002138;HP:0004933;HP:0004959;HP:0200146;HP:0002686;HP:0012532
TGFBR1,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,Majority are missense variants that decrease kinase activity,190181,LOEYS-DIETZ SYNDROME 1,609192,Familial thoracic aneurysm and dissection (91387); rare disease with thoracic aortic aneurysm and aortic dissection (285014); Loeys-Dietz syndrome (60030),MONDO_0012212,NA,Cardiac,"AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TBR-i, TBRI, TGFR-1, tbetaR-I",HGNC:11772,NA,NA,NA,16791849;26188975;19542084;27146836;16791849;18781618;26188975;22414221;27739498;24355923,HP:0000202;HP:0004942;HP:0012163;HP:0001640;HP:0005112;HP:0004970;HP:0011106;HP:0001388;HP:0000023;HP:0000963;HP:0001166;HP:0004955;HP:0001373;HP:0002617;HP:0005162;HP:0100775;HP:0000006;HP:0002326;HP:0000767;HP:0002647;HP:0000316;HP:0000766;HP:0003549;HP:0000238;HP:0001263;HP:0012385;HP:0000347;HP:0000768;HP:0001363;HP:0005692;HP:0001425;HP:0004937;HP:0100718;HP:0000987;HP:0009473;HP:0000098;HP:0001249;HP:0002107;HP:0000822;HP:0004950;HP:0001634;HP:0001297;HP:0001762;HP:0002105;HP:0001631;HP:0001647;HP:0000175;HP:0002664;HP:0200146;HP:0002686;HP:0100749;HP:0000978;HP:0012499;HP:0001763;HP:0004944;HP:0000977;HP:0001659;HP:0100490;HP:0000951;HP:0002875;HP:0001695;HP:0001643;HP:0010648;HP:0002138;HP:0000218;HP:0005294;HP:0000525;HP:0000577;HP:0003674;HP:0012763;HP:0000278;HP:0001519;HP:0005182;HP:0004933;HP:0004959;HP:0410151;HP:0000272;HP:0000592;HP:0000965;HP:0002705;HP:0005116;HP:0000520;HP:0002308;HP:0001065;HP:0001162;HP:0002616;HP:0001677;HP:0002650;HP:0000193;HP:0001083;HP:0001892;HP:0002140
TGFBR2,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,Majority are missense variants that decrease kinase activity,190182,LOEYS-DIETZ SYNDROME 2,610168,Familial thoracic aneurysm and dissection (91387); rare disease with thoracic aortic aneurysm and aortic dissection (285014); Loeys-Dietz syndrome (60030); Marfan syndrome type 2 (284973),MONDO_0012427,NA,Cardiac,"AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TBR-ii, TBRII, TGFR-2, TGFbeta-RII",HGNC:11773,NA,NA,NA,16791849;16027248;16885183;18781618;25555948;12821554;20628007;15731757;12948523;26494233;20628007;15235604;21979435;24401272;24355923,HP:0000987;HP:0100571;HP:0002105;HP:0001643;HP:0012385;HP:0012163;HP:0000739;HP:0003401;HP:0001428;HP:0002376;HP:0001608;HP:0000716;HP:0010786;HP:0012499;HP:0004937;HP:0000822;HP:0007018;HP:0010648;HP:0002616;HP:0001695;HP:0000316;HP:0003003;HP:0011459;HP:0100718;HP:0000202;HP:0100749;HP:0010526;HP:0002705;HP:0012763;HP:0100835;HP:0001537;HP:0002875;HP:0002647;HP:0001166;HP:0001677;HP:0006725;HP:0001373;HP:0000965;HP:0002076;HP:0003549;HP:0001659;HP:0000708;HP:0003006;HP:0001634;HP:0005112;HP:0004959;HP:0000272;HP:0001123;HP:0000737;HP:0001388;HP:0010622;HP:0100775;HP:0000525;HP:0004374;HP:0000577;HP:0002107;HP:0100615;HP:0007256;HP:0100660;HP:0001363;HP:0002027;HP:0000023;HP:0001065;HP:0001263;HP:0001763;HP:0000939;HP:0012378;HP:0002671;HP:0000520;HP:0001156;HP:0005692;HP:0010442;HP:0000978;HP:0001297;HP:0006716;HP:0011106;HP:0001159;HP:0001824;HP:0004950;HP:0001762;HP:0002108;HP:0001425;HP:0000238;HP:0001631;HP:0000766;HP:0004955;HP:0004944;HP:0000768;HP:0000218;HP:0004933;HP:0000767;HP:0002326;HP:0000193;HP:0002894;HP:0000006;HP:0001519;HP:0100259;HP:0100576;HP:0009473;HP:0002716;HP:0012174;HP:0100743;HP:0000098;HP:0005162;HP:0002019;HP:0001640;HP:0200008;HP:0001892;HP:0005116;HP:0001522;HP:0002686;HP:0100031;HP:0002893;HP:0000347;HP:0002140;HP:0001402;HP:0001083;HP:0002860;HP:0100613;HP:0001371;HP:0001250;HP:0002138;HP:0002664;HP:0010524;HP:0002024;HP:0003302;HP:0002516;HP:0001252;HP:0001864;HP:0002308;HP:0005807;HP:0410151;HP:0200146;HP:0000738;HP:0000278;HP:0000505;HP:0001647;HP:0000175;HP:0002650;HP:0004970;HP:0001288;HP:0003179;HP:0002354;HP:0001276;HP:0000963;HP:0002167;HP:0004942;HP:0005182;HP:0100490;HP:0001249;HP:0002017;HP:0002239;HP:0001260;HP:0002617;HP:0005294;HP:0012735;HP:0000592;HP:0008872
TNNI3,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,Missense,191044,"CARDIOMYOPATHY, HYPERTROPHIC, 7",613690,NA,MONDO_0013369,NA,Cardiac,"CMD1FF, CMD2A, CMH7, RCM1, TNNC1, cTnI",HGNC:11947,NA,NA,NA,9241277;15698845;22876777;20641121;19035361;15607392,HP:0100578;HP:0000006;HP:0005110;HP:0031295;HP:0001874;HP:0001723;HP:0003198;HP:0011462;HP:0000982;HP:0001638;HP:0000007;HP:0001712;HP:0003621;HP:0001425;HP:0001645;HP:0002119;HP:0003457;HP:0001714;HP:0000407;HP:0001635;HP:0001644;HP:0003236
TNNT2,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,"Missense, splice",191045,"CARDIOMYOPATHY, HYPERTROPHIC, 2",115195,NA,MONDO_0007266,NA,Cardiac,"CMD1D, CMH2, CMPD2, LVNC6, RCM3, TnTC, cTnT",HGNC:11949,NA,NA,NA,8205619;23494605;14636924;27532257;27721798;1934353;10330428;10405326;11060294;9637714;10449439,HP:0005110;HP:0001712;HP:0001638;HP:0001644;HP:0001874;HP:0030682;HP:0001639;HP:0003198;HP:0000982;HP:0001635;HP:0003457;HP:0000407;HP:0000006;HP:0001699;HP:0003236;HP:0100578
TPM1,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,Missense,191010,"CARDIOMYOPATHY, HYPERTROPHIC, 3",115196,NA,MONDO_0007267,NA,Cardiac,"C15orf13, CMD1Y, CMH3, HEL-S-265, HTM-alpha, LVNC9, TMSA",HGNC:12010,NA,NA,NA,7729014;8205619;8327508;8774330;8523464;9822100;11136687;12651045;12423715;27532257;25548289;21376702;23508784;27057166;15059934;11603924;11045979;21320446,HP:0003236;HP:0003198;HP:0001644;HP:0001874;HP:0004756;HP:0000982;HP:0001635;HP:0001653;HP:0001639;HP:0100578;HP:0000006;HP:0000407;HP:0003457
TTR,HCM,isolated LVH,Transthyretin amyloidosis,Definitive,Confirmed,AD,monoallelic,NA,176300,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED",105210,ORPHA:85451  ATTRV122I amyloidosis; ORPHA:85447  ATTRV30M amyloidosis,MONDO_0019441,NA,Cardiac,"ATTR, CTS, CTS1, HEL111, HsT2651, PALB, TBPA",HGNC:12405,NA,NA,NA,16115295;16194874;26537620;1626570;1570831;15983293;27806283;9095004;11310831,HP:0000006;HP:0001824;HP:0008326;HP:0001269;HP:0012332;HP:0003676;HP:0004926;HP:0008247;HP:0002014;HP:0001337;HP:0001265;HP:0001271;HP:0000365;HP:0001640;HP:0002401;HP:0000112;HP:0002315;HP:0011675;HP:0100832;HP:0000505;HP:0000726;HP:0012185;HP:0000639;HP:0000802;HP:0002019;HP:0002922;HP:0001250;HP:0001678;HP:0012211;HP:0003477;HP:0000020;HP:0001257;HP:0009830;HP:0011034;HP:0001324;HP:0001260;HP:0001251;HP:0001638;HP:0007841;HP:0003581;HP:0012276;HP:0010550
PKP2,ARVC_CG,NA,Classic ARVC,Definitive,Confirmed,AD,monoallelic,NA,602861,Arrhythmogenic right ventricular dysplasia 9,609040,NA,NA,NA,Cardiac,"ARVD9, MGC177501, plakophilin-2",HGNC:9024,NA,confidential,NA,NA,HP:0001279;HP:0000006;HP:0002617;HP:0001962;HP:0004308;HP:0011663;HP:0001645;HP:0006698
DSP,ARVC_CG,NA,Frequent left-ventricular involvement. Occasional hair and skin features. Rare homozygous variants - Carvajal Syndrome (cardiocutaneous),Definitive,Confirmed,"AD, AR",monoallelic,NA,125647,Arrhythmogenic right ventricular dysplasia 8,607450,NA,NA,NA,Cardiac,"KPPS2 ,PPKS2, DPI, DPII, DCWHKTA, DP",HGNC:3052,NA,confidential,NA,NA,HP:0025390;HP:0004756;HP:0001649;HP:0002164;HP:0008404;HP:0025175;HP:0001644;HP:0000006;HP:0040019;HP:0002020;HP:0001036;HP:0001645;HP:0001640;HP:0200041;HP:0001596;HP:0001820;HP:0001638;HP:0000989;HP:0001808;HP:0008094;HP:0025179;HP:0005588;HP:0008064;HP:0012735;HP:0010444;HP:0001508;HP:0031319;HP:0001057;HP:0200097;HP:0007548;HP:0025092;HP:0001595;HP:0001635;HP:0009884;HP:0009804;HP:0004057;HP:0001159;HP:0001597;HP:0002110;HP:0006530;HP:0030830;HP:0000969;HP:0011663;HP:0030816;HP:0000007;HP:0000962;HP:0001626;HP:0010783;HP:0001279;HP:0100759;HP:0001741;HP:0000535;HP:0002289;HP:0001663;HP:0002206;HP:0007475;HP:0000695;HP:0001030;HP:0004791;HP:0001425;HP:0000982;HP:0001798;HP:0002875;HP:0006682;HP:0002224;HP:0000653;HP:0001852;HP:0100792
DSG2,ARVC_CG,NA,Frequent left-ventricular involvement,Definitive,Confirmed,"AD, AR",monoallelic,NA,125671,Arrhythmogenic right ventricular dysplasia 10,610193,NA,NA,NA,Cardiac,"CDHF5, HDGC",HGNC:3049,NA,confidential,NA,NA,HP:0000407;HP:0004756;HP:0000006;HP:0006682;HP:0001874;HP:0000982;HP:0001962;HP:0001644;HP:0003236;HP:0003198;HP:0011663;HP:0100578;HP:0001425;HP:0003457;HP:0001645
DSC2,ARVC_CG,NA,ARVC,Definitive,Confirmed,"AD, AR",monoallelic,NA,125645,Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair,610476,NA,NA,NA,Cardiac,"ARVD11, CDHF2, DG2, DGII/III, DSC3",HGNC:3036,NA,confidential,NA,NA,HP:0000007;HP:0000982;HP:0004308;HP:0001279;HP:0001645;HP:0000006;HP:0011663;HP:0002224;HP:0002094;HP:0001962
JUP,ARVC_CG,NA,Naxos disease (cardiocutaneous).,Definitive,Confirmed,AR,biallelic,NA,173325,"Naxos disease, Arrhythmogenic right ventricular dysplasia 12",601214,NA,NA,NA,Cardiac,"CTNNG, DP3, PDGB, PKGB, DPIII",HGNC:6207,NA,confidential,NA,NA,HP:0004791;HP:0025092;HP:0000982;HP:0100792;HP:0010719;HP:0001798;HP:0002231;HP:0004756;HP:0031193;HP:0000956;HP:0000006;HP:0002212;HP:0002209;HP:0010872;HP:0001425;HP:0000007;HP:0011675;HP:0000204;HP:0006682;HP:0000695;HP:0001635;HP:0001596;HP:0011712;HP:0001962;HP:0002321;HP:0002224;HP:0001640;HP:0001030;HP:0001645;HP:0001638;HP:0200097;HP:0006677;HP:0000535;HP:0200041;HP:0000975;HP:0001644;HP:0001279;HP:0004308;HP:0008404;HP:0001806;HP:0004751;HP:0011663
TMEM43,ARVC_CG,NA,Extremely high sudden death rates in males.,Definitive,Confirmed,AD,monoallelic,NA,612048,Arrhythmogenic right ventricular dysplasia 5,604400,NA,NA,NA,Cardiac,"ARVC5, ARVD5, EDMD7, LUMA",HGNC:28472,NA,confidential,NA,NA,HP:0004756;HP:0001639;HP:0003805;HP:0008948;HP:0006785;HP:0007126;HP:0005115;HP:0001605;HP:0003458;HP:0000467;HP:0031972;HP:0002808;HP:0008064;HP:0001387;HP:0001644;HP:0001513;HP:0008997;HP:0011675;HP:0003306;HP:0000767;HP:0005155;HP:0006677;HP:0001771;HP:0003307;HP:0030117;HP:0001635;HP:0002155;HP:0009125;HP:0003198;HP:0011663;HP:0005110;HP:0000508;HP:0002515;HP:0008994;HP:0011807;HP:0003701;HP:0008956;HP:0001252;HP:0000912;HP:0003560;HP:0000006;HP:0002650;HP:0002747;HP:0100749;HP:0001288;HP:0001662;HP:0004631;HP:0003418;HP:0006682;HP:0001678;HP:0001962;HP:0002987;HP:0001645;HP:0001315;HP:0002486;HP:0100660;HP:0003236;HP:0003141;HP:0003691;HP:0040083
ALPK3,HCM,isolated LVH,Infant-onset HCM/DCM,Strong,Confirmed,AR,biallelic,NA,617608,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC 27, Infant-onset  HCM/DCM",618052,Brugada syndrome ORPHA:130,MONDO_0011001,NA,Cardiac,"CMH27, MAK, MIDORI",HGNC:17574,NA,NA,NA,26846950;27106955;11418590;11418590;27106955;11418590;21441111,HP:0005180;HP:0001789;HP:0001657;HP:0001640;HP:0000007;HP:0001653
COX15,HCM,NA,NA,Strong,Confirmed,"Mi, AR",biallelic,NA,603646,LEIGH SYNDROME,256000,ORPHA:506  Leigh syndrome,MONDO_0009723,NA,Cardiac,CEMCOX2,HGNC:2263,NA,NA,NA,15235026;11788607;25613900;25613900;21723506;26039449,HP:0000712;HP:0100022;HP:0002171;HP:0001404;HP:0002793;HP:0009830;HP:0003593;HP:0000365;HP:0025356;HP:0002878;HP:0001260;HP:0001427;HP:0000639;HP:0002093;HP:0007183;HP:0001251;HP:0001639;HP:0000602;HP:0001290;HP:0002073;HP:0001252;HP:0002490;HP:0003128;HP:0003676;HP:0000007;HP:0002104;HP:0000508;HP:0007305;HP:0001425;HP:0010864;HP:0008972;HP:0000486;HP:0000252;HP:0001249;HP:0000580;HP:0001629;HP:0001638;HP:0001298;HP:0007020;HP:0001558;HP:0000648;HP:0001332;HP:0001347;HP:0001508;HP:0001263;HP:0000407;HP:0000998;HP:0001903;HP:0001397;HP:0001257;HP:0002151;HP:0002415;HP:0001250;HP:0001941;HP:0002928
